service_date,gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator,ObjectId
2024/05/20 04:00:00+00,CR-Worcester,,Framingham/Worcester Line,Commuter Rail,,Commuter Rail,OFF_PEAK,Headway / Schedule Adherence,34,37,0,10189
2024/05/20 04:00:00+00,CR-Franklin,,Franklin Line,Commuter Rail,,Commuter Rail,OFF_PEAK,Headway / Schedule Adherence,17,17,0,10190
2024/05/20 04:00:00+00,CR-Haverhill,,Haverhill Line,Commuter Rail,,Commuter Rail,OFF_PEAK,Headway / Schedule Adherence,15,19,1,10191
2024/05/20 04:00:00+00,CR-Kingston,,Kingston/Plymouth Line,Commuter Rail,,Commuter Rail,OFF_PEAK,Headway / Schedule Adherence,15,17,0,10199
2024/05/20 04:00:00+00,CR-Lowell,,Lowell Line,Commuter Rail,,Commuter Rail,OFF_PEAK,Headway / Schedule Adherence,24,24,0,10200
2024/05/20 04:00:00+00,CR-Middleborough,,Middleborough/Lakeville Line,Commuter Rail,,Commuter Rail,OFF_PEAK,Headway / Schedule Adherence,19,20,0,10202
2024/05/20 04:00:00+00,CR-Needham,,Needham Line,Commuter Rail,,Commuter Rail,OFF_PEAK,Headway / Schedule Adherence,21,24,0,10203
2024/05/20 04:00:00+00,CR-Fairmount,,Fairmount Line,Commuter Rail,,Commuter Rail,PEAK,Headway / Schedule Adherence,15,16,0,10204
2024/05/20 04:00:00+00,CR-Fitchburg,,Fitchburg Line,Commuter Rail,,Commuter Rail,PEAK,Headway / Schedule Adherence,11,11,0,10205
2024/05/20 04:00:00+00,CR-Worcester,,Framingham/Worcester Line,Commuter Rail,,Commuter Rail,PEAK,Headway / Schedule Adherence,15,18,0,10206
2024/05/20 04:00:00+00,CR-Franklin,,Franklin Line,Commuter Rail,,Commuter Rail,PEAK,Headway / Schedule Adherence,9,9,0,10207
2024/05/20 04:00:00+00,CR-Greenbush,,Greenbush Line,Commuter Rail,,Commuter Rail,PEAK,Headway / Schedule Adherence,7,7,0,10208
2024/05/20 04:00:00+00,CR-Haverhill,,Haverhill Line,Commuter Rail,,Commuter Rail,PEAK,Headway / Schedule Adherence,7,12,0,10209
2024/05/20 04:00:00+00,CR-Kingston,,Kingston/Plymouth Line,Commuter Rail,,Commuter Rail,PEAK,Headway / Schedule Adherence,8,8,0,10210
2024/05/20 04:00:00+00,CR-Lowell,,Lowell Line,Commuter Rail,,Commuter Rail,PEAK,Headway / Schedule Adherence,13,13,0,10211
2024/05/20 04:00:00+00,CR-Providence,,Providence/Stoughton Line,Commuter Rail,,Commuter Rail,PEAK,Headway / Schedule Adherence,6,8,0,10214
2024/05/20 04:00:00+00,CR-Providence,,Providence/Stoughton Line,Commuter Rail,,Commuter Rail,PEAK,Headway / Schedule Adherence,11,12,0,10215
2024/05/19 04:00:00+00,CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,OFF_PEAK,Headway / Schedule Adherence,16,17,0,10229
2024/05/19 04:00:00+00,CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,OFF_PEAK,Headway / Schedule Adherence,16,18,0,10231
2024/05/21 04:00:00+00,CR-Providence,,Providence/Stoughton Line,Commuter Rail,,Commuter Rail,OFF_PEAK,Headway / Schedule Adherence,21,24,0,10266
2024/05/21 04:00:00+00,CR-Providence,,Providence/Stoughton Line,Commuter Rail,,Commuter Rail,OFF_PEAK,Headway / Schedule Adherence,25,30,0,10269
2024/05/19 04:00:00+00,CR-Greenbush,,Greenbush Line,Commuter Rail,,Commuter Rail,OFF_PEAK,Headway / Schedule Adherence,16,16,0,10321
2024/05/19 04:00:00+00,CR-Haverhill,,Haverhill Line,Commuter Rail,,Commuter Rail,OFF_PEAK,Headway / Schedule Adherence,16,16,0,10323
2024/05/21 04:00:00+00,CR-Greenbush,,Greenbush Line,Commuter Rail,,Commuter Rail,OFF_PEAK,Headway / Schedule Adherence,18,19,0,10324
2024/05/21 04:00:00+00,CR-Haverhill,,Haverhill Line,Commuter Rail,,Commuter Rail,OFF_PEAK,Headway / Schedule Adherence,18,19,0,10325
